"Parent","parent_sku","post_parent","ID","post_status","menu_order","sku","downloadable","virtual","stock","stock_status","regular_price","sale_price","weight","length","width","height","tax_class","variation_description","file_path","file_paths","download_limit","images","downloadable_files","tax:product_shipping_class","meta:attribute_material","meta:attribute_size"
"Fittipaldi Emerson","7404-9","11","49","publish","1","","no","no","","instock","75","","","","","","","","","","","","","","Print","24x36 (60x90cm)"
"Fittipaldi Emerson","7404-9","11","61","publish","1","","no","no","","instock","50","","","","","","","","","","","","","","Canvas (rolled in a tube)","12x18 (30x45cm)"
"Fittipaldi Emerson","7404-9","11","60","publish","1","","no","no","","instock","65","","","","","","","","","","","","","","Canvas (rolled in a tube)","16x24 (40x60cm)"
"Fittipaldi Emerson","7404-9","11","59","publish","1","","no","no","","instock","85","","","","","","","","","","","","","","Canvas (rolled in a tube)","20x28 (50x70cm)"
"Fittipaldi Emerson","7404-9","11","58","publish","1","","no","no","","instock","20","","","","","","","","","","","","","","Digital High Resolution","8x12 (20x30cm)"
"Fittipaldi Emerson","7404-9","11","57","publish","1","","no","no","","instock","30","","","","","","","","","","","","","","Digital High Resolution","12x18 (30x45cm)"
"Fittipaldi Emerson","7404-9","11","56","publish","1","","no","no","","instock","40","","","","","","","","","","","","","","Digital High Resolution","16x24 (40x60cm)"
"Fittipaldi Emerson","7404-9","11","55","publish","1","","no","no","","instock","55","","","","","","","","","","","","","","Digital High Resolution","20x28 (50x70cm)"
"Fittipaldi Emerson","7404-9","11","54","publish","1","","no","no","","instock","70","","","","","","","","","","","","","","Digital High Resolution","24x36 (60x90cm)"
"Fittipaldi Emerson","7404-9","11","53","publish","1","","no","no","","instock","25","","","","","","","","","","","","","","Print","8x12 (20x30cm)"
"Fittipaldi Emerson","7404-9","11","52","publish","1","","no","no","","instock","35","","","","","","","","","","","","","","Print","12x18 (30x45cm)"
"Fittipaldi Emerson","7404-9","11","51","publish","1","","no","no","","instock","45","","","","","","","","","","","","","","Print","16x24 (40x60cm)"
"Fittipaldi Emerson","7404-9","11","50","publish","1","","no","no","","instock","60","","","","","","","","","","","","","","Print","20x28 (50x70cm)"
"Jochen Mass","7602-1","64","73","publish","1","","no","no","","instock","25","","","","","","","","","","","","","","Print","8x12 (20x30cm)"
"Jochen Mass","7602-1","64","74","publish","1","","no","no","","instock","35","","","","","","","","","","","","","","Print","12x18 (30x45cm)"
"Jochen Mass","7602-1","64","75","publish","1","","no","no","","instock","45","","","","","","","","","","","","","","Print","16x24 (40x60cm)"
"Jochen Mass","7602-1","64","76","publish","1","","no","no","","instock","60","","","","","","","","","","","","","","Print","20x28 (50x70cm)"
"Jochen Mass","7602-1","64","77","publish","1","","no","no","","instock","75","","","","","","","","","","","","","","Print","24x36 (60x90cm)"
"Jochen Mass","7602-1","64","72","publish","1","","no","no","","instock","70","","","","","","","","","","","","","","Digital High Resolution","24x36 (60x90cm)"
"Jochen Mass","7602-1","64","71","publish","1","","no","no","","instock","55","","","","","","","","","","","","","","Digital High Resolution","20x28 (50x70cm)"
"Jochen Mass","7602-1","64","70","publish","1","","no","no","","instock","40","","","","","","","","","","","","","","Digital High Resolution","16x24 (40x60cm)"
"Jochen Mass","7602-1","64","69","publish","1","","no","no","","instock","30","","","","","","","","","","","","","","Digital High Resolution","12x18 (30x45cm)"
"Jochen Mass","7602-1","64","68","publish","1","","no","no","","instock","20","","","","","","","","","","","","","","Digital High Resolution","8x12 (20x30cm)"
"Jochen Mass","7602-1","64","67","publish","1","","no","no","","instock","85","","","","","","","","","","","","","","Canvas (rolled in a tube)","20x28 (50x70cm)"
"Jochen Mass","7602-1","64","66","publish","1","","no","no","","instock","65","","","","","","","","","","","","","","Canvas (rolled in a tube)","16x24 (40x60cm)"
"Jochen Mass","7602-1","64","65","publish","1","","no","no","","instock","50","","","","","","","","","","","","","","Canvas (rolled in a tube)","12x18 (30x45cm)"
"Jochen Mass","7602-2","79","88","publish","1","","no","no","","instock","25","","","","","","","","","","","","","","Print","8x12 (20x30cm)"
"Jochen Mass","7602-2","79","89","publish","1","","no","no","","instock","35","","","","","","","","","","","","","","Print","12x18 (30x45cm)"
"Jochen Mass","7602-2","79","90","publish","1","","no","no","","instock","45","","","","","","","","","","","","","","Print","16x24 (40x60cm)"
"Jochen Mass","7602-2","79","91","publish","1","","no","no","","instock","60","","","","","","","","","","","","","","Print","20x28 (50x70cm)"
"Jochen Mass","7602-2","79","92","publish","1","","no","no","","instock","75","","","","","","","","","","","","","","Print","24x36 (60x90cm)"
"Jochen Mass","7602-2","79","87","publish","1","","no","no","","instock","70","","","","","","","","","","","","","","Digital High Resolution","24x36 (60x90cm)"
"Jochen Mass","7602-2","79","86","publish","1","","no","no","","instock","55","","","","","","","","","","","","","","Digital High Resolution","20x28 (50x70cm)"
"Jochen Mass","7602-2","79","85","publish","1","","no","no","","instock","40","","","","","","","","","","","","","","Digital High Resolution","16x24 (40x60cm)"
"Jochen Mass","7602-2","79","84","publish","1","","no","no","","instock","30","","","","","","","","","","","","","","Digital High Resolution","12x18 (30x45cm)"
"Jochen Mass","7602-2","79","83","publish","1","","no","no","","instock","20","","","","","","","","","","","","","","Digital High Resolution","8x12 (20x30cm)"
"Jochen Mass","7602-2","79","82","publish","1","","no","no","","instock","85","","","","","","","","","","","","","","Canvas (rolled in a tube)","20x28 (50x70cm)"
"Jochen Mass","7602-2","79","81","publish","1","","no","no","","instock","65","","","","","","","","","","","","","","Canvas (rolled in a tube)","16x24 (40x60cm)"
"Jochen Mass","7602-2","79","80","publish","1","","no","no","","instock","50","","","","","","","","","","","","","","Canvas (rolled in a tube)","12x18 (30x45cm)"
"Jochen Mass","7602-3","94","103","publish","1","","no","no","","instock","25","","","","","","","","","","","","","","Print","8x12 (20x30cm)"
"Jochen Mass","7602-3","94","104","publish","1","","no","no","","instock","35","","","","","","","","","","","","","","Print","12x18 (30x45cm)"
"Jochen Mass","7602-3","94","105","publish","1","","no","no","","instock","45","","","","","","","","","","","","","","Print","16x24 (40x60cm)"
"Jochen Mass","7602-3","94","106","publish","1","","no","no","","instock","60","","","","","","","","","","","","","","Print","20x28 (50x70cm)"
"Jochen Mass","7602-3","94","107","publish","1","","no","no","","instock","75","","","","","","","","","","","","","","Print","24x36 (60x90cm)"
"Jochen Mass","7602-3","94","102","publish","1","","no","no","","instock","70","","","","","","","","","","","","","","Digital High Resolution","24x36 (60x90cm)"
"Jochen Mass","7602-3","94","101","publish","1","","no","no","","instock","55","","","","","","","","","","","","","","Digital High Resolution","20x28 (50x70cm)"
"Jochen Mass","7602-3","94","100","publish","1","","no","no","","instock","40","","","","","","","","","","","","","","Digital High Resolution","16x24 (40x60cm)"
"Jochen Mass","7602-3","94","99","publish","1","","no","no","","instock","30","","","","","","","","","","","","","","Digital High Resolution","12x18 (30x45cm)"
"Jochen Mass","7602-3","94","98","publish","1","","no","no","","instock","20","","","","","","","","","","","","","","Digital High Resolution","8x12 (20x30cm)"
"Jochen Mass","7602-3","94","97","publish","1","","no","no","","instock","85","","","","","","","","","","","","","","Canvas (rolled in a tube)","20x28 (50x70cm)"
"Jochen Mass","7602-3","94","96","publish","1","","no","no","","instock","65","","","","","","","","","","","","","","Canvas (rolled in a tube)","16x24 (40x60cm)"
"Jochen Mass","7602-3","94","95","publish","1","","no","no","","instock","50","","","","","","","","","","","","","","Canvas (rolled in a tube)","12x18 (30x45cm)"
"Ayrton Senna","89002-1","109","118","publish","1","","no","no","","instock","25","","","","","","","","","","","","","","Print","8x12 (20x30cm)"
"Ayrton Senna","89002-1","109","119","publish","1","","no","no","","instock","35","","","","","","","","","","","","","","Print","12x18 (30x45cm)"
"Ayrton Senna","89002-1","109","120","publish","1","","no","no","","instock","45","","","","","","","","","","","","","","Print","16x24 (40x60cm)"
"Ayrton Senna","89002-1","109","121","publish","1","","no","no","","instock","60","","","","","","","","","","","","","","Print","20x28 (50x70cm)"
"Ayrton Senna","89002-1","109","122","publish","1","","no","no","","instock","75","","","","","","","","","","","","","","Print","24x36 (60x90cm)"
"Ayrton Senna","89002-1","109","117","publish","1","","no","no","","instock","70","","","","","","","","","","","","","","Digital High Resolution","24x36 (60x90cm)"
"Ayrton Senna","89002-1","109","116","publish","1","","no","no","","instock","55","","","","","","","","","","","","","","Digital High Resolution","20x28 (50x70cm)"
"Ayrton Senna","89002-1","109","115","publish","1","","no","no","","instock","40","","","","","","","","","","","","","","Digital High Resolution","16x24 (40x60cm)"
"Ayrton Senna","89002-1","109","114","publish","1","","no","no","","instock","30","","","","","","","","","","","","","","Digital High Resolution","12x18 (30x45cm)"
"Ayrton Senna","89002-1","109","113","publish","1","","no","no","","instock","20","","","","","","","","","","","","","","Digital High Resolution","8x12 (20x30cm)"
"Ayrton Senna","89002-1","109","112","publish","1","","no","no","","instock","85","","","","","","","","","","","","","","Canvas (rolled in a tube)","20x28 (50x70cm)"
"Ayrton Senna","89002-1","109","111","publish","1","","no","no","","instock","65","","","","","","","","","","","","","","Canvas (rolled in a tube)","16x24 (40x60cm)"
"Ayrton Senna","89002-1","109","110","publish","1","","no","no","","instock","50","","","","","","","","","","","","","","Canvas (rolled in a tube)","12x18 (30x45cm)"
"Ayrton Senna","89002-2","124","132","publish","1","","no","no","","instock","40","","","","","","","","","","","","","","Digital High Resolution","16x24 (40x60cm)"
"Ayrton Senna","89002-2","124","133","publish","1","","no","no","","instock","55","","","","","","","","","","","","","","Digital High Resolution","20x28 (50x70cm)"
"Ayrton Senna","89002-2","124","134","publish","1","","no","no","","instock","70","","","","","","","","","","","","","","Digital High Resolution","24x36 (60x90cm)"
"Ayrton Senna","89002-2","124","135","publish","1","","no","no","","instock","25","","","","","","","","","","","","","","Print","8x12 (20x30cm)"
"Ayrton Senna","89002-2","124","136","publish","1","","no","no","","instock","35","","","","","","","","","","","","","","Print","12x18 (30x45cm)"
"Ayrton Senna","89002-2","124","131","publish","1","","no","no","","instock","30","","","","","","","","","","","","","","Digital High Resolution","12x18 (30x45cm)"
"Ayrton Senna","89002-2","124","130","publish","1","","no","no","","instock","20","","","","","","","","","","","","","","Digital High Resolution","8x12 (20x30cm)"
"Ayrton Senna","89002-2","124","129","publish","1","","no","no","","instock","85","","","","","","","","","","","","","","Canvas (rolled in a tube)","20x28 (50x70cm)"
"Ayrton Senna","89002-2","124","128","publish","1","","no","no","","instock","65","","","","","","","","","","","","","","Canvas (rolled in a tube)","16x24 (40x60cm)"
"Ayrton Senna","89002-2","124","127","publish","1","","no","no","","instock","50","","","","","","","","","","","","","","Canvas (rolled in a tube)","12x18 (30x45cm)"
"Ayrton Senna","89002-2","124","126","publish","1","","no","no","","instock","75","","","","","","","","","","","","","","Print","24x36 (60x90cm)"
"Ayrton Senna","89002-2","124","125","publish","1","","no","no","","instock","60","","","","","","","","","","","","","","Print","20x28 (50x70cm)"
"Ayrton Senna","89002-2","124","137","publish","1","","no","no","","instock","45","","","","","","","","","","","","","","Print","16x24 (40x60cm)"
